TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_X_CLASSE_SERIE;TAB_X_VL_RENTAB_MES
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;Subclasse Senior Série 19;1.01
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;Subclasse Senior Série 20;1.28
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;Subclasse Senior Série 21;1.26
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;Subclasse Senior Série 22;1.21
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;Subclasse Senior Série 23;1.21
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;Subclasse Senior Série 24;1.21
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;Subclasse Senior Série 25;1.21
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;Subclasse Senior Série 26;1.21
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;Subclasse Senior Série 27;0.18
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;Subclasse Subordinada Mezanino 1 | Série 1;0.00
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;Subclasse Subordinada Mezanino 2 | Série 1;0.00
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;Subclasse Subordinada Mezanino 3 | Série 1;0.00
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;Subclasse Subordinada Mezanino 4 | Série 1;0.00
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;Subclasse Subordinada Mezanino 5 | Série 1;0.00
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;Subclasse Subordinada Mezanino 6 | Série 1;0.00
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;Subclasse Subordinada Mezanino 7 | Série 1;1.34
Classe;07.727.757/0001-20;EMPRESARIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;Subclasse Subordinada Subordinada 1 |;1.22
Classe;07.738.319/0001-68;SP RECEBÍVEIS PREMIUM I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  MULTISSEGMENTOS;2025-02-28;Subclasse Senior Série 1;1.22
Classe;07.738.319/0001-68;SP RECEBÍVEIS PREMIUM I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  MULTISSEGMENTOS;2025-02-28;Subclasse Subordinada Mezanino 1 | Série 1;1.30
Classe;07.738.319/0001-68;SP RECEBÍVEIS PREMIUM I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  MULTISSEGMENTOS;2025-02-28;Subclasse Subordinada Subordinada 1 |;1.84
Classe;07.742.454/0001-87;GP - FIDC FCVS 2;2025-02-28;Subclasse Senior;0.00
Classe;07.742.454/0001-87;GP - FIDC FCVS 2;2025-02-28;Subclasse Subordinada Subordinada 1 |;2.17
Classe;08.093.745/0001-54;V1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - MULTICARTEIRA;2025-02-28;Subclasse Senior;0.00
Classe;08.093.745/0001-54;V1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - MULTICARTEIRA;2025-02-28;Subclasse Subordinada Subordinada 1 |;-1.34
Classe;08.270.249/0001-29;MACCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;Subclasse Senior;0.00
Classe;08.270.249/0001-29;MACCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;Subclasse Subordinada Subordinada 1 |;0.00
Classe;08.315.045/0001-67;HOPE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2025-02-28;Subclasse Senior Série 1;0.00
Classe;08.315.045/0001-67;HOPE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2025-02-28;Subclasse Senior Série 2;0.00
