TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_II_VL_CARTEIRA;TAB_II_A_VL_INDUST;TAB_II_B_VL_IMOBIL;TAB_II_C_VL_COMERC;TAB_II_C1_VL_COMERC;TAB_II_C2_VL_VAREJO;TAB_II_C3_VL_ARREND;TAB_II_D_VL_SERV;TAB_II_D1_VL_SERV;TAB_II_D2_VL_SERV_PUBLICO;TAB_II_D3_VL_SERV_EDUC;TAB_II_D4_VL_ENTRET;TAB_II_E_VL_AGRONEG;TAB_II_F_VL_FINANC;TAB_II_F1_VL_CRED_PESSOA;TAB_II_F2_VL_CRED_PESSOA_CONSIG;TAB_II_F3_VL_CRED_CORP;TAB_II_F4_VL_MIDMARKET;TAB_II_F5_VL_VEICULO;TAB_II_F6_VL_IMOBIL_EMPRESA;TAB_II_F7_VL_IMOBIL_RESID;TAB_II_F8_VL_OUTRO;TAB_II_G_VL_CREDITO;TAB_II_H_VL_FACTOR;TAB_II_H1_VL_PESSOA;TAB_II_H2_VL_CORP;TAB_II_I_VL_SETOR_PUBLICO;TAB_II_I1_VL_PRECAT;TAB_II_I2_VL_TRIBUT;TAB_II_I3_VL_ROYALTIES;TAB_II_I4_VL_OUTRO;TAB_II_J_VL_JUDICIAL;TAB_II_K_VL_MARCA
Classe;07.742.454/0001-87;GP - FIDC FCVS 2;2025-02-28;88210408.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;88210408.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;88210408.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;08.093.745/0001-54;V1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - MULTICARTEIRA;2025-02-28;2596109.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2596109.00;2596109.00;0.00;0.00;0.00;0.00;0.00
Classe;08.270.249/0001-29;MACCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;56652316.03;0.00;0.00;717777.72;717777.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;55934538.31;55934538.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;08.315.045/0001-67;HOPE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2025-02-28;185622822.07;95872759.30;0.00;57950418.70;41707199.48;16243219.22;0.00;28329798.46;28329798.46;0.00;0.00;0.00;3150251.75;319593.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;319593.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;08.417.544/0001-65;CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-02-28;1026633495.12;0.00;0.00;0.00;0.00;0.00;0.00;1026633495.12;0.00;0.00;1026633495.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;08.611.414/0001-69;V3 FIDC MULTICARTEIRA - NP;2025-02-28;670814594.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;670814594.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;670814594.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;08.632.394/0001-02;RED - FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL LP - RESPONSABILIDADE  LIMITADA;2025-02-28;927326866.25;201099099.56;0.00;234524557.61;209197650.38;25326907.23;0.00;106626045.41;105972944.42;631068.86;22032.13;0.00;0.00;385077163.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;385077163.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;08.654.210/0001-05;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP;2025-02-28;239908848.92;0.00;0.00;239908848.92;239908848.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;08.678.936/0001-88;SIFRA PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2025-02-28;891527770.43;0.00;0.00;891527770.43;891527770.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;08.692.888/0001-82;CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-02-28;1000008184.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1000008184.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;08.756.222/0001-40;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS TRADEMAX RESPONSABILIDADE LIMITADA;2025-02-28;230895123.89;0.00;0.00;230895123.89;230895123.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;08.927.488/0001-09;FIDC TRENDBANK BANCO DE FOMENTO - MULTISETORIAL;2025-02-28;6618574.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6618574.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6618574.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;08.930.397/0001-22;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL PROSPECTA LP;2025-02-28;54418041.99;0.00;0.00;54418041.99;54418041.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;08.987.105/0001-98;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FORNECEDORES I DE RESPONSABILIDADE LIMITADA;2025-02-28;5519014.18;0.00;0.00;0.00;0.00;0.00;0.00;5519014.18;5519014.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.009.924/0001-23;ECO MULTI COMMODITIES FIDC FINANCEIROS AGROPECUARIOS;2025-02-28;47605063.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;47605063.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.057.948/0001-58;FIDC MULTISETORIAL EXICON I;2025-02-28;107195056.99;0.00;0.00;107195056.99;107195056.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.072.384/0001-22;CREDITMIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-02-28;27287992.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27287992.82;0.00
Classe;09.104.359/0001-83;DETOMASO FIDC-NP MULTISSETORIAL;2025-02-28;105042903.85;0.00;0.00;97486833.32;97303641.75;0.00;183191.57;0.00;0.00;0.00;0.00;0.00;7556070.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.115.244/0001-94;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO II - RESPONSABILIDADE LIMITADA;2025-02-28;520561477.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;520561477.50;520561477.50;0.00;0.00;0.00;0.00;0.00
Classe;09.137.729/0001-89;MULTI RECEBÍVEIS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;113079956.74;52575464.16;0.00;28194748.34;25025033.30;3169715.04;0.00;22721223.12;18791843.29;0.00;3691521.11;237858.72;975352.63;8613168.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8613168.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.163.026/0001-25;MERIDIANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;144115688.22;0.00;0.00;8802947.54;8802947.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;81249905.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;81249905.44;0.00;0.00;0.00;0.00;54062835.24;54062835.24;0.00;0.00;0.00;0.00;0.00
Classe;09.172.117/0001-27;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL ÁSIA LP;2025-02-28;351136566.11;162928920.63;6781738.33;125310313.55;120289985.45;5020328.10;0.00;48086663.18;47668161.67;418501.51;0.00;0.00;0.00;8028930.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8028930.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.195.235/0001-50;FIDC DO SISTEMA PETROBRAS;2025-02-28;78977355950.53;78977355950.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.217.017/0001-70;ACCESS 1 FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESPONSABILIDADE LIMITADA;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.217.024/0001-71;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FRANQUIAS - RESPONSABILIDADE LIMITADA;2025-02-28;1691182370.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1691182370.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1691182370.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.220.444/0001-07;DELTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;38699040.80;16220075.56;0.00;17890599.72;13539405.28;4351194.44;0.00;4510323.52;4510323.52;0.00;0.00;0.00;77832.00;210.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;210.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.221.411/0001-81;VERTIGO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-02-28;53900540.11;40474175.84;0.00;10790021.54;10037663.54;752358.00;0.00;2636342.73;2636342.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.236.210/0001-58;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PRECATÓRIOS SELECIONADOS I;2025-02-28;213192451.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;213192451.24;0.00
Classe;09.239.216/0001-89;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL SM LP;2025-02-28;11012568.75;0.00;0.00;11012568.75;11012568.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.260.031/0001-56;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO SRM;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.266.437/0001-46;JPP EMPRESAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTICARTEIRA;2025-02-28;68390484.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;68390484.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;68390484.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
